,name,light_years_from_earth,planet_mass,stellar_magnitude,discovery_date,planet_type,planet_radius,orbital_radius,orbital_period,eccentricity,solar_system_name,planet_discovery_method,planet_orbital_inclination,planet_density,right_ascension,declination,host_temperature,host_mass,host_radius
21,47 Ursae Majoris c,45,0.54 Jupiters,5.05,2001,Gas Giant,1.27 x Jupiter,3.6 AU,6.6 years,0.1,47 UMa,Radial Velocity,,,10h59m27.97s,+40d25m48.9s,5892,1.03,1.23
22,47 Ursae Majoris d,45,1.64 Jupiters,5.05,2009,Gas Giant,1.2 x Jupiter,11.6 AU,38.4 years,0.16,47 UMa,Radial Velocity,,,10h59m27.97s,+40d25m48.9s,5892,1.03,1.23
23,4 Ursae Majoris b,240,7.1 Jupiters,4.61,2006,Gas Giant,1.13 x Jupiter,0.87 AU,269.3 days,0.43,47 UMa,Radial Velocity,,,10h59m27.97s,+40d25m48.9s,5892,1.03,1.23
24,51 Eridani b,96,2 Jupiters,5.23,2015,Gas Giant,1.19 x Jupiter,12.0 AU,32 years,0.45,51 Eri,Imaging,133,,04h37m36.13s,-02d28m24.8s,,1.75,
25,51 Pegasi b,50,0.46 Jupiters,5.5,1995,Gas Giant,1.27 x Jupiter,0.0527 AU,4.2 days,0.01,51 Peg,Radial Velocity,,,22h57m27.98s,+20d46m07.8s,5793,1.12,1.2
26,55 Cancri b,41,0.8306 Jupiters,5.96,1996,Gas Giant,1.24 x Jupiter,0.115227 AU,14.7 days,0,55 Cnc,Radial Velocity,90,,08h52m35.81s,+28d19m50.9s,5196,0.91,0.94
27,55 Cancri c,41,0.1714 Jupiters,5.96,2004,Gas Giant,0.76 x Jupiter,0.241376 AU,44.4 days,0.02,55 Cnc,Radial Velocity,90,,08h52m35.81s,+28d19m50.9s,5196,0.91,0.94
28,55 Cancri d,41,3.878 Jupiters,5.96,2002,Gas Giant,1.16 x Jupiter,5.503 AU,13.2 years,0.02,55 Cnc,Radial Velocity,90,,08h52m35.81s,+28d19m50.9s,5196,0.91,0.94
29,55 Cancri e,41,8.08 Earths,5.96,2004,Super Earth,1.91 x Earth,0.01544 AU,0.7 days,0.03,55 Cnc,Radial Velocity,83.3,6.4,08h52m35.81s,+28d19m50.9s,5196,0.91,0.94
30,55 Cancri f,41,0.141 Jupiters,5.96,2007,Gas Giant,0.677 x Jupiter,0.788 AU,262 days,0.31,55 Cnc,Radial Velocity,90,,08h52m35.81s,+28d19m50.9s,5196,0.91,0.94
31,61 Virginis b,28,5.1 Earths,4.74,2009,Neptune-like,2.11 x Earth,0.050201 AU,4.2 days,0.12,6 Lyn,Radial Velocity,,,06h30m47.11s,+58d09m45.5s,4938,1.44,5.2
32,61 Virginis c,28,18.2 Earths,4.74,2009,Neptune-like,0.398 x Jupiter,0.2175 AU,38 days,0.14,61 Vir,Radial Velocity,,,13h18m24.32s,-18d18m40.3s,5577,0.94,0.96
33,61 Virginis d,28,22.9 Earths,4.74,2009,Neptune-like,0.456 x Jupiter,0.476 AU,123 days,0.35,61 Vir,Radial Velocity,,,13h18m24.32s,-18d18m40.3s,5577,0.94,0.96
34,6 Lyncis b,179,2.01 Jupiters,5.86,2008,Gas Giant,1.19 x Jupiter,2.11 AU,2.6 years,0.07,61 Vir,Radial Velocity,,,13h18m24.32s,-18d18m40.3s,5577,0.94,0.96
35,70 Virginis b,58,7.49 Jupiters,4.97,1996,Gas Giant,1.13 x Jupiter,0.481 AU,116.7 days,0.4,7 CMa,Radial Velocity,90,,06h36m41.04s,-19d15m21.2s,4826,1.34,4.87
36,75 Ceti b,271,3 Jupiters,5.35,2012,Gas Giant,1.17 x Jupiter,2.1 AU,1.9 years,0.12,7 CMa,Radial Velocity,90,,06h36m41.04s,-19d15m21.2s,4826,1.34,4.87
